,listed_in(type),rest_type,total address,book_table,online_order,rate,approx_cost(for two people)
27510,Delivery,Casual Dining,"138, 1st Cross, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.3/5,800
27511,Delivery,Casual Dining,"105, VTP, Industrial Layout, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,3.8/5,650
27516,Delivery,Casual Dining,"123, 1st Floor, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.3/5,"1,100"
27518,Delivery,Mess,"205, KHB Colony, 17th E Main, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.1/5,150
27519,Delivery,Casual Dining,"17, 7th Main, Opposite To SBI Bank, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,No,3.7/5,500
27525,Delivery,Quick Bites,"2nd Floor, 50/1 Jyoti Nivas College Road, Opposite Jyoti Nivas College Main Gate, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,3.8/5,300
27573,Delivery,Delivery,"12, 6th C Cross,Behind Green View Medical Center, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,No,3.8/5,500
27587,Delivery,Quick Bites,"478, Ground Floor, Krishna Temple Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.1/5,450
27589,Delivery,Casual Dining,"727, 10th Main, 7th Cross, 2nd Stage, BTM Layout, BTM, Bangalore, BTM, Koramangala 4th Block",No,Yes,3.8/5,600
27590,Delivery,Casual Dining,"462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR Layout, HSR, Bangalore, HSR, Koramangala 4th Block",No,Yes,3.4/5,800
27591,Delivery,Quick Bites,"390, 29th A Main, 1st stage, BTM, Koramangala 4th Block",No,Yes,3.1/5,400
27595,Delivery,"Takeaway, Delivery","3, 2nd Main, 11th Cross, Maruthinagar, Madiwala, Near BTM, Bangalore, BTM, Koramangala 4th Block",No,Yes,3.6/5,600
27598,Delivery,Casual Dining,"B-5, Hermain Complex, 16th Main, 2nd Stage, BTM, Koramangala 4th Block",No,Yes,3.7/5,600
27608,Delivery,Casual Dining,"37, 80 Feet Road, Opposite Indian Oil Petrol Bank, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,3.1/5,500
27611,Delivery,Quick Bites,"5th Cross, 4th Main Road, Behind Ayyappa Temple, Madiwala, BTM, Bangalore, BTM, Koramangala 4th Block",No,Yes,3.3/5,400
27612,Delivery,Quick Bites,"148/2, 20th Main Road, 2nd Cross, 1st Stage, BTM, Koramangala 4th Block",No,Yes,3.7/5,300
27614,Delivery,Cafe,"20/1, Husna's Paradise, 1st Floor, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,3.8/5,600
27615,Delivery,Casual Dining,"47, 6th Cross, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,3.6/5,800
27621,Delivery,Delivery,"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,4.0/5,300
27625,Delivery,Casual Dining,"607, First Floor, 80 Feet Road, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",Yes,Yes,4.1/5,"1,100"
27630,Delivery,Dessert Parlor,"427, Ground Floor, 7th Main, 7th Cross, BTM Layout, Bangalore, BTM, Koramangala 4th Block",No,Yes,3.7/5,200
27635,Delivery,Bar,"54, Canara Bank Road, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",Yes,Yes,3.7/5,"1,300"
27642,Delivery,Casual Dining,"First Floor , 42, First Main, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,Yes,3.8/5,500
27646,Delivery,"Pub, Casual Dining","91, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.5/5,"1,000"
27648,Delivery,Casual Dining,"77/A, Ground Floor, Cygnus Chambers, JNC Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,Yes,4.1/5,"1,200"
27649,Delivery,Bar,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.8/5,"1,000"
27650,Delivery,Casual Dining,"478, NA Chamber, Koramangala 6th Block, Bengaluru, Bengaluru, Koramangala 6th Block, Koramangala 4th Block",No,Yes,3.7/5,800
27651,Delivery,Casual Dining,"1, 1st Floor, BTM Complex, 9th Main Road, 1st Stage, BTM, Bangalore, BTM, Koramangala 4th Block",No,Yes,3.1/5,600
27656,Delivery,Casual Dining,"412/A, 1st C Cross, Near Forum Mall, 7th Block, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,3.5/5,650
27660,Delivery,Lounge,"40, 4th P Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.0/5,"1,000"
27661,Delivery,"Lounge, Cafe","280, Amarjyothi Layout, Opposite DELL, Inner Ring Road, Domlur, Bangalore, Domlur, Koramangala 4th Block",Yes,No,4.0/5,"1,600"
27662,Delivery,"Lounge, Microbrewery","2/3, Above Pantaloons, Sony World Junction, 80 Feet Road, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.8/5,"2,000"
27663,Delivery,Lounge,"2, 2nd Floor, 100 Feet Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,3.9/5,"1,400"
27665,Delivery,Delivery,"1502, 19th Main Road, Sector 4, HSR, Bangalore, HSR, Koramangala 4th Block",No,Yes,4.2/5,600
27671,Delivery,Dessert Parlor,"139, Jyoti Nivas College Road, Ground Floor, Terra Tree Service Apartments, 1st Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.3/5,400
27681,Delivery,Cafe,"23, Near Mangala Kalyana Mantapa, MIG, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.5/5,800
27682,Delivery,Cafe,"136, Rooftop, Above Gold's Gym, 1st Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.1/5,"1,300"
27684,Delivery,Quick Bites,"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.2/5,600
27686,Delivery,"Takeaway, Delivery","14th Main, 4th Sector, HSR, Bangalore, HSR, Koramangala 4th Block",No,Yes,3.1/5,200
27687,Delivery,Casual Dining,"3, 5th Block, 60 Feet Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.5/5,"1,400"
27688,Delivery,Quick Bites,"134, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.1/5,400
27689,Delivery,Casual Dining,"88, Industrial Layout, Beside Jyothi Nivas Girls College Main Gate, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.1/5,500
27690,Delivery,Quick Bites,"50/1, Near Jyothi Nivas College, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.3/5,350
27691,Delivery,Casual Dining,"235, 9th Main, Sector 6, HSR, Bangalore, HSR, Koramangala 4th Block",Yes,No,3.8/5,800
27692,Delivery,Cafe,"10, Fifth A Block, 17th B Main, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.5/5,900
27693,Delivery,Cafe,"111, Ground Floor, Asha Mansion, 6th Cross, Club Road, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.1/5,700
27694,Delivery,Dessert Parlor,"13, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.3/5,400
27695,Delivery,Casual Dining,"55, Opposite Jyoti Nivas College, Industrial Layout, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.2/5,650
27696,Delivery,Quick Bites,"62, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.1/5,150
27697,Delivery,Casual Dining,"65,1st Main, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",Yes,No,4.1/5,650
27698,Delivery,Casual Dining,"8/1, 1st Floor, Jailaxmi Nivas, 1st Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,No,4.5/5,"1,200"
27700,Delivery,Mess,"Maruthi Nagar Main Road, 9th Cross, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,4.4/5,300
27703,Delivery,Dessert Parlor,"1021, 80 Feet Main Road, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,No,4.5/5,200
27705,Delivery,Beverage Shop,"117, State Bank Of India Building, Industrial Layout, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,4.3/5,350
27712,Delivery,Quick Bites,"56, 1st A Main Road, 80 Feet Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.1/5,200
27718,Delivery,Quick Bites,"635, 17th Main, 100 Feet Road, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.9/5,200
27719,Delivery,Beverage Shop,"513/A, Opposite Anjaneya Temple, 80 Feet Road, 8th Block, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",No,No,3.9/5,400
27722,Delivery,"Dessert Parlor, Cafe","8th Block, Opposite Bethany School, 80 Feet Road, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",No,No,3.8/5,500
27725,Delivery,"Sweet Shop, Quick Bites","906, 6th Block, GNR Plaza, Near Sony World Signal, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.7/5,250
27726,Delivery,Quick Bites,"635, 100 Feet Road, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.0/5,200
27731,Delivery,"Bakery, Dessert Parlor","2nd Floor, Transit Food Court, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.8/5,150
27733,Delivery,Delivery,"521, 2nd Floor, 1st Main Road, Teacher's Colony, Santhosapuram, Sector 6, HSR, Bangalore, HSR, Koramangala 4th Block",No,No,2.7/5,500
27734,Delivery,Quick Bites,"199, 2nd Cross, 7th Block, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.6/5,250
27739,Delivery,"Food Court, Quick Bites","80 Feet Road,Eat Street, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.0/5,350
27740,Delivery,"Takeaway, Delivery","49, Agara Circle, Near Hanuman Statue, HSR Layout, Bangalore, HSR, Bangalore, HSR, Koramangala 4th Block",No,No,3.6/5,150
27754,Delivery,Casual Dining,"1st Main, Bhuvanappa Layout, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,4.0/5,"1,000"
27755,Delivery,Casual Dining,"Ginger Hotel, Amarjyothi Layout, Inner Ring Road, Domlur, Bangalore, Domlur, Koramangala 4th Block",No,No,3.4/5,"1,100"
27759,Delivery,Dessert Parlor,"1433/B, 60 Feet Road, 5h Block, KHB Block Koramangala, Koramangala 5th Block, Koramangala 5th Block, Koramangala 4th Block",No,No,4.0/5,200
27761,Delivery,Quick Bites,"95, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.6/5,400
27767,Delivery,Delivery,"Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.7/5,500
27769,Delivery,Casual Dining,"16, Krishna Nagar Industrial Layout, SG Palya, Near Christ University, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,3.1/5,600
27770,Delivery,Quick Bites,"Eat Street 11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.9/5,550
27772,Delivery,Cafe,"8, Chikkalakshmaiah Layout, Near Christ University, Hosur Main Road, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,3.6/5,500
27777,Delivery,Dessert Parlor,"110, Near Allen Solly Showroom, 1st Cross, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.0/5,300
27791,Delivery,"Takeaway, Delivery","Bhuvappa Layout, Kaveri Layout, Suddagunte Palya, Near Forum Mall, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,3.8/5,200
27795,Delivery,Dessert Parlor,"130, KHB Colony, 17 H Main, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,3.8/5,400
27797,Delivery,Quick Bites,"63, Chocolate Factory Road, Tavarekere, 1st Stage, BTM, Bangalore, BTM, Koramangala 4th Block",No,No,3.6/5,650
27802,Delivery,Dessert Parlor,"11, 80 Feet Main Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.0/5,300
27846,Delivery,"Takeaway, Delivery","Plot 21, OYO Townhouse, Next to Lifestyle, Inner Ring Road, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",No,No,3.4/5,800
27864,Delivery,Quick Bites,"#22, 6th Cross, Jakkasandra Extention, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,No,4.0/5,350
27872,Delivery,Quick Bites,"506, 6th Cross, 6th Block, Club Road, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,2.7/5,500
27917,Delivery,Quick Bites,"10, Opposite Forum Mall, Taverekere, Suddagunte Palya, BTM, Bangalore, BTM, Koramangala 4th Block",Yes,No,NEW,200
27923,Delivery,Quick Bites,"42, 1st Main, 1st Block, Koramangala, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,Yes,3.4/5,250
27924,Delivery,"Casual Dining, Pub","157/A, Behind EGL Tech Park, Murugeshpalya, Old Airport Road, Bangalore, Old Airport Road, Koramangala 4th Block",Yes,Yes,4.0/5,900
27932,Delivery,Beverage Shop,"15, Near Christ College, 7th Cross, S.G Palya Main Road, BTM, Bangalore, BTM, Koramangala 4th Block",No,Yes,4.0/5,200
27937,Delivery,"Beverage Shop, Quick Bites","17th, H Main Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.0/5,350
27938,Delivery,Casual Dining,"7, Hosur Main Road, Opposite Forum Mall, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,4.0/5,800
27943,Delivery,Casual Dining,"756/L-189, Sector 6, Near Silk Board Junction, HSR, Bangalore, HSR, Koramangala 4th Block",Yes,Yes,4.0/5,900
27956,Delivery,Quick Bites,"Sector 6, HSR Layout, HSR, HSR, Koramangala 4th Block",No,Yes,3.9/5,400
27962,Delivery,Delivery,"418/9, Second Floor, Near Blue Dart Office, AVS Layout, 80 Feet Road, Koramangala 4th Block, Bengaluru, Koramangala 4th Block, Koramangala 4th Block",No,Yes,3.9/5,500
27963,Delivery,Casual Dining,"88, Jyoti Nivas College Road, Koramangala 5th Block, Bengaluru, Koramangala 5th Block, Koramangala 4th Block",No,Yes,3.8/5,550
27965,Delivery,"Casual Dining, Bar","Halcyon Condominiums, 9, Drafadilla Layout, Koramangala 4th Block, Bangalore, Koramangala 4th Block, Koramangala 4th Block",Yes,Yes,4.0/5,"1,500"
27968,Delivery,Cafe,"28, 4th B Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.2/5,700
27997,Desserts,Dessert Parlor,"80 Feet Road, Koramangala 4th Block, Bangalore, Koramangala 4th Block, Koramangala 4th Block",No,Yes,4.3/5,450
28005,Desserts,Cafe,"925, Opposite Magnus Diagnostic Center, ST Bed Layout, Koramangala 4th Block, Bangalore, Koramangala 4th Block, Koramangala 4th Block",No,Yes,3.7/5,450
28006,Desserts,"Microbrewery, Casual Dining","14, Patel Narayana Reddy Layout, 80 Ft Main Road, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",Yes,Yes,4.3/5,"2,000"
28007,Desserts,"Dessert Parlor, Quick Bites","130, 17th H Main Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.7/5,350
28008,Desserts,Casual Dining,"130, 1st Cross, Jwoti Nivas College Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,Yes,4.2/5,"1,300"
28009,Desserts,Quick Bites,"11, 80 Feet Road, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.2/5,600
28010,Desserts,Cafe,"436, 18th Main, 80 Feet Road, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,4.4/5,500
28011,Desserts,"Cafe, Dessert Parlor","44, 4th B Cross Rd, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.4/5,600
28012,Desserts,Cafe,"11, 80 Feet Road, Next to SBI, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",Yes,Yes,4.1/5,600
28013,Desserts,Dessert Parlor,"105, 1st A Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.5/5,400
28014,Desserts,"Dessert Parlor, Cafe","Elite Building Ground Floor, Industrial Layout, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.5/5,500
28015,Desserts,Cafe,"20, Sai Nivas, 1st A Main Road, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,Yes,4.2/5,800
28016,Desserts,Casual Dining,"607, First Floor, 80 Feet Road, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",Yes,Yes,4.1/5,"1,100"
28017,Desserts,"Cafe, Dessert Parlor","203, 1st Main, Koramangala 7th Block, bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.6/5,550
28018,Desserts,Casual Dining,"Davanam Plaza, Next To Total Mall Madivala, Hosur Road, Sidharata Colony, Santhosapuram, Koramangala 2nd Block, Bangalore, Koramangala 2nd Block, Koramangala 4th Block",Yes,Yes,4.0/5,"1,100"
28019,Desserts,Dessert Parlor,"13, 17th Main, 1st Cross, 5th A Block, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,4.3/5,400
28020,Desserts,Dessert Parlor,"146, Near William Penn, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.6/5,400
28021,Desserts,Sweet Shop,"143/A, 60 Feet Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.2/5,400
28022,Desserts,Dessert Parlor,"66, Kormangala Industrial Layout, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.1/5,450
28023,Desserts,"Takeaway, Delivery","178/10, 3rd B Cross, Venkatapura Main Road, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,Yes,4.1/5,650
28025,Desserts,"Dessert Parlor, Cafe","70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.5/5,300
28026,Desserts,Dessert Parlor,"139, Jyoti Nivas College Road, Ground Floor, Terra Tree Service Apartments, 1st Cross, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.3/5,400
28027,Desserts,Dessert Parlor,"15, 60 Feet Road, 19th Main, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.4/5,500
28028,Desserts,Cafe,"75/2, 17th Main, Hosur Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",Yes,Yes,4.2/5,650
28029,Desserts,Dessert Parlor,"1021, 80 Feet Main Road, Koramangala 1st Block, Bangalore, Koramangala 1st Block, Koramangala 4th Block",No,No,4.5/5,200
28030,Desserts,Dessert Parlor,"99, 5th Cross, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,4.2/5,400
28031,Desserts,Dessert Parlor,"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.2/5,900
28032,Desserts,Beverage Shop,"104, 4th B Cross Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.1/5,400
28033,Desserts,Dessert Parlor,"Ground Floor, Forum Mall, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.0/5,400
28034,Desserts,Dessert Parlor,"Shop 88, Jyoti Nivas College Road, Kormangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.3/5,250
28035,Desserts,Dessert Parlor,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.8/5,400
28036,Desserts,Cafe,"98/A, 17th B Main, Opposite China Pearl, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.1/5,"1,200"
28037,Desserts,Dessert Parlor,"Ground Floor, 489/1, KHB Colony, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.2/5,500
28038,Desserts,Dessert Parlor,"49/1, Ground Floor, 1st Main, 5th Block, Near Jyoti Nivas College, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.2/5,350
28040,Desserts,"Quick Bites, Sweet Shop","153, Ground Floor, Sheela Arcade, 7th Block, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.9/5,200
28042,Desserts,Dessert Parlor,"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,4.1/5,250
28043,Desserts,Dessert Parlor,"487, JT Plaza, JNC Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.0/5,500
28044,Desserts,Cafe,"584, 80 Feet Road, 5th Floor, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",Yes,Yes,4.4/5,700
28045,Desserts,Dessert Parlor,"483, Krishna Temple Road, Koramangla 5th Block, Next to Tunday Kababi & Lazeez Restaurants and Opp. Krishna Temple, Bengaluru, Koramangala 5th Block, Koramangala 4th Block",No,Yes,3.9/5,200
28047,Desserts,Bakery,"10, 1st Cross, 5th A Block, Near Jyothinivas College, Koramangala 5th Block, Koramangala 4th Block",No,Yes,3.8/5,400
28048,Desserts,"Bakery, Dessert Parlor","366, 1st Main, 7th Cross, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.0/5,500
28051,Desserts,Dessert Parlor,"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.2/5,300
28053,Desserts,Dessert Parlor,"Ground Floor, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,3.9/5,800
28054,Desserts,Dessert Parlor,"Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.0/5,150
28055,Desserts,"Beverage Shop, Quick Bites","17th, H Main Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.0/5,350
28056,Desserts,Beverage Shop,"Near Jyoti Nivas College,1st Main,Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.0/5,200
28057,Desserts,Beverage Shop,"6, Next to Airtel Office, 80 Feet Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,No,3.9/5,200
28059,Desserts,"Dessert Parlor, Cafe","8th Block, Opposite Bethany School, 80 Feet Road, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",No,No,3.8/5,500
28060,Desserts,Sweet Shop,"44, BDA Complex, Koramangala 3rd Block, Bangalore, Koramangala 3rd Block, Koramangala 4th Block",No,Yes,3.8/5,200
28062,Desserts,Bakery,"74/2A, K.R. Garden, Koramangala 8th Block, Bangalore, Koramangala 8th Block, Koramangala 4th Block",No,Yes,3.5/5,400
28064,Desserts,"Sweet Shop, Quick Bites","906, 6th Block, GNR Plaza, Near Sony World Signal, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,3.7/5,250
28066,Desserts,Dessert Parlor,"63, 5th Block, Jyoti Nivas College Road, Koramangala Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.2/5,400
28067,Desserts,"Dessert Parlor, Quick Bites","360, 1st Main Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.1/5,500
28070,Desserts,"Cafe, Bakery","360 ,1st Main, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.8/5,600
28071,Desserts,Dessert Parlor,"G 6, Ground Floor, Money Centre, 80 Feet Road, 7th Block, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,Yes,4.2/5,450
28073,Desserts,Dessert Parlor,"55, 5th Cross, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,4.1/5,500
28074,Desserts,"Bakery, Dessert Parlor","2nd Floor, Transit Food Court, Forum Mall, Hosur Road, Koramangala 7th Block, Bangalore, Koramangala 7th Block, Koramangala 4th Block",No,No,3.8/5,150
28075,Desserts,Dessert Parlor,"126, 1st A Cross, KHB Colony, Jyoti Nivas College Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,3.9/5,200
28081,Desserts,"Takeaway, Delivery","18th Main Park, 17th H Main Road, Koramangala 5th Block, Bangalore, Koramangala 5th Block, Koramangala 4th Block",No,Yes,4.4/5,350
28083,Desserts,Sweet Shop,"503, 6th Main, 6th Block, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,Yes,3.5/5,250
28084,Desserts,Cafe,"11, 7th Cross, 3rd Block Koramangala, Near Raheja residency, Koramangala 3rd Block, Bangalore, Koramangala 3rd Block, Koramangala 4th Block",No,Yes,4.0/5,500
28088,Desserts,Dessert Parlor,"1433/B, 60 Feet Road, 5h Block, KHB Block Koramangala, Koramangala 5th Block, Koramangala 5th Block, Koramangala 4th Block",No,No,4.0/5,200
28093,Desserts,Dessert Parlor,"110, Near Allen Solly Showroom, 1st Cross, Koramangala 6th Block, Bangalore, Koramangala 6th Block, Koramangala 4th Block",No,No,4.0/5,300
